2023-04-27 21:05:39,265 INFO    StreamThr :1978 [internal.py:wandb_internal():86] W&B internal server running at pid: 1978, started at: 2023-04-27 21:05:39.264513
2023-04-27 21:05:39,266 DEBUG   HandlerThread:1978 [handler.py:handle_request():144] handle_request: status
2023-04-27 21:05:39,276 INFO    WriterThread:1978 [datastore.py:open_for_write():85] open: /Users/Uni Course/IML/IML_A3/wandb/run-20230427_210539-5ry3tlkq/run-5ry3tlkq.wandb
2023-04-27 21:05:39,276 DEBUG   SenderThread:1978 [sender.py:send():375] send: header
2023-04-27 21:05:39,296 DEBUG   SenderThread:1978 [sender.py:send():375] send: run
2023-04-27 21:05:39,875 INFO    SenderThread:1978 [dir_watcher.py:__init__():219] watching files in: /Users/Uni Course/IML/IML_A3/wandb/run-20230427_210539-5ry3tlkq/files
2023-04-27 21:05:39,875 INFO    SenderThread:1978 [sender.py:_start_run_threads():1124] run started: 5ry3tlkq with start time 1682593539.264978
2023-04-27 21:05:39,875 DEBUG   SenderThread:1978 [sender.py:send_request():402] send_request: summary_record
2023-04-27 21:05:39,876 INFO    SenderThread:1978 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-04-27 21:05:39,880 DEBUG   HandlerThread:1978 [handler.py:handle_request():144] handle_request: check_version
2023-04-27 21:05:39,880 DEBUG   SenderThread:1978 [sender.py:send_request():402] send_request: check_version
2023-04-27 21:05:39,955 DEBUG   HandlerThread:1978 [handler.py:handle_request():144] handle_request: run_start
2023-04-27 21:05:39,956 DEBUG   HandlerThread:1978 [system_info.py:__init__():31] System info init
2023-04-27 21:05:39,956 DEBUG   HandlerThread:1978 [system_info.py:__init__():46] System info init done
2023-04-27 21:05:39,956 INFO    HandlerThread:1978 [system_monitor.py:start():181] Starting system monitor
2023-04-27 21:05:39,956 INFO    SystemMonitor:1978 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-04-27 21:05:39,956 INFO    HandlerThread:1978 [system_monitor.py:probe():201] Collecting system info
2023-04-27 21:05:39,957 INFO    SystemMonitor:1978 [interfaces.py:start():190] Started cpu monitoring
2023-04-27 21:05:39,957 DEBUG   HandlerThread:1978 [system_info.py:probe():195] Probing system
2023-04-27 21:05:39,958 INFO    SystemMonitor:1978 [interfaces.py:start():190] Started disk monitoring
2023-04-27 21:05:39,958 INFO    SystemMonitor:1978 [interfaces.py:start():190] Started memory monitoring
2023-04-27 21:05:39,959 INFO    SystemMonitor:1978 [interfaces.py:start():190] Started network monitoring
2023-04-27 21:05:39,960 DEBUG   HandlerThread:1978 [system_info.py:_probe_git():180] Probing git
2023-04-27 21:05:39,984 DEBUG   HandlerThread:1978 [system_info.py:_probe_git():188] Probing git done
2023-04-27 21:05:39,985 DEBUG   HandlerThread:1978 [system_info.py:probe():240] Probing system done
